Symbol,Company_Name,Sector,Current_Price,Market_Cap,PE_Ratio,ROE,Debt
POWERGRID,Power Grid Corporation of India Ltd,Power Generation & Distribution,237.0,220610.0,14.4,19.6,119892.0
RECLTD,REC Ltd,Finance,413.0,108713.0,8.53,20.4,419517.0
RELIANCE,Reliance Industries Ltd,Refineries,2585.0,1748895.0,25.6,8.94,316697.0
SAIL,Steel Authority of India Ltd,Steel,124.0,51074.0,15.3,3.57,30714.0
SBIN,State Bank of India,Banks,642.0,573005.0,8.4,16.8,4989687.0
SHREECEM,Shree Cement Ltd,Cement,28653.0,103383.0,54.5,7.45,2081.0
SIEMENS,Siemens Ltd,Capital Goods - Electrical Equipment,4025.0,143328.0,75.0,15.5,152.0
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Pharmaceuticals,1259.0,302184.0,33.8,16.6,1928.0
TATACONSUM,Tata Consumer Products Ltd,Plantation & Plantation Products,1087.0,100965.0,81.8,6.86,1511.0
TATAPOWER,Tata Power Company Ltd,Power Generation & Distribution,332.0,106133.0,31.1,12.6,52526.0
TATASTEEL,Tata Steel Ltd,Steel,140.0,171671.0,2827.0,7.28,89723.0
TCS,Tata Consultancy Services Ltd,IT - Software,3793.0,1388025.0,31.1,46.9,7764.0
TECHM,Tech Mahindra Ltd,IT - Software,1273.0,124232.0,34.6,17.6,2614.0
TITAN,Titan Company Ltd,Diamond Gems and Jewellery,3675.0,326301.0,98.8,30.8,14254.0
TORNTPHARM,Torrent Pharmaceuticals Ltd,Pharmaceuticals,2306.0,78030.0,58.1,20.0,4487.0
TRENT,Trent Ltd,Retail,3055.0,108600.0,182.0,11.9,4839.0
TVSMOTOR,TVS Motor Company Ltd,Automobile,2026.0,96246.0,66.0,25.6,12853.0
ULTRACEMCO,UltraTech Cement Ltd,Cement,10503.0,303209.0,53.3,9.63,11459.0
VEDL,Vedanta Ltd,Mining & Mineral products,259.0,96108.0,19.4,20.4,75064.0
VOLTAS,Voltas Ltd,Consumer Durables,978.0,32372.0,106.0,4.42,555.0
WIPRO,Wipro Ltd,IT - Software,471.0,246218.0,21.2,15.9,17918.0
ZEEL,Zee Entertainment Enterprises Ltd,Entertainment,275.0,26385.0,108.0,0.35,252.0
